Using GATK jar /home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx819M -jar /home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar CollectAllelicCounts -I results/prepared/P1.N.cram -L results/called/preprocessed.interval_list -R /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --tmp-dir /tmp/tmp0iiyh870 --output results/called/P1.N.counts.tsv
09:00:55.583 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
09:00:55.651 INFO  CollectAllelicCounts - GCS max retries/reopens: 20
09:00:55.653 INFO  CollectAllelicCounts - Requester pays: disabled
09:00:55.654 INFO  CollectAllelicCounts - Initializing engine
09:00:57.199 INFO  FeatureManager - Using codec IntervalListCodec to read file file:///home/victor/Project/WES/CNA/results/called/preprocessed.interval_list
09:00:58.027 INFO  IntervalArgumentCollection - Processing 4084393 bp from intervals
09:00:58.078 INFO  CollectAllelicCounts - Done initializing engine
09:00:58.107 INFO  CollectAllelicCounts - Collecting allelic counts...
09:00:58.108 INFO  ProgressMeter - Starting traversal
09:00:58.108 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
09:01:00.901 WARN  AllelicCountCollector - The reference position at chr21:5498901-5498901 has an unknown base call (value: N). Skipping...
09:01:00.902 WARN  AllelicCountCollector - The reference position at chr21:5498902-5498902 has an unknown base call (value: N). Skipping...
09:01:00.902 WARN  AllelicCountCollector - The reference position at chr21:5498903-5498903 has an unknown base call (value: N). Skipping...
09:01:00.902 WARN  AllelicCountCollector - The reference position at chr21:5498904-5498904 has an unknown base call (value: N). Skipping...
09:01:00.902 WARN  AllelicCountCollector - The reference position at chr21:5498905-5498905 has an unknown base call (value: N). Skipping...
09:01:00.903 WARN  AllelicCountCollector - The reference position at chr21:5498906-5498906 has an unknown base call (value: N). Skipping...
09:01:00.903 WARN  AllelicCountCollector - The reference position at chr21:5498907-5498907 has an unknown base call (value: N). Skipping...
09:01:00.903 WARN  AllelicCountCollector - The reference position at chr21:5498908-5498908 has an unknown base call (value: N). Skipping...
09:01:00.903 WARN  AllelicCountCollector - The reference position at chr21:5498909-5498909 has an unknown base call (value: N). Skipping...
09:01:00.903 WARN  AllelicCountCollector - The reference position at chr21:5498910-5498910 has an unknown base call (value: N). Skipping...
09:01:00.903 WARN  AllelicCountCollector - The reference position at chr21:5498911-5498911 has an unknown base call (value: N). Skipping...
09:01:00.904 WARN  AllelicCountCollector - The reference position at chr21:5498912-5498912 has an unknown base call (value: N). Skipping...
09:01:00.904 WARN  AllelicCountCollector - The reference position at chr21:5498913-5498913 has an unknown base call (value: N). Skipping...
09:01:00.904 WARN  AllelicCountCollector - The reference position at chr21:5498914-5498914 has an unknown base call (value: N). Skipping...
09:01:00.904 WARN  AllelicCountCollector - The reference position at chr21:5498915-5498915 has an unknown base call (value: N). Skipping...
09:01:00.904 WARN  AllelicCountCollector - The reference position at chr21:5498916-5498916 has an unknown base call (value: N). Skipping...
09:01:00.904 WARN  AllelicCountCollector - The reference position at chr21:5498917-5498917 has an unknown base call (value: N). Skipping...
09:01:00.904 WARN  AllelicCountCollector - The reference position at chr21:5498918-5498918 has an unknown base call (value: N). Skipping...
09:01:00.905 WARN  AllelicCountCollector - The reference position at chr21:5498919-5498919 has an unknown base call (value: N). Skipping...
09:01:00.905 WARN  AllelicCountCollector - The reference position at chr21:5498920-5498920 has an unknown base call (value: N). Skipping...
09:01:00.905 WARN  AllelicCountCollector - The reference position at chr21:5498921-5498921 has an unknown base call (value: N). Skipping...
09:01:00.905 WARN  AllelicCountCollector - The reference position at chr21:5498922-5498922 has an unknown base call (value: N). Skipping...
09:01:00.905 WARN  AllelicCountCollector - The reference position at chr21:5498923-5498923 has an unknown base call (value: N). Skipping...
09:01:00.905 WARN  AllelicCountCollector - The reference position at chr21:5498924-5498924 has an unknown base call (value: N). Skipping...
09:01:00.905 WARN  AllelicCountCollector - The reference position at chr21:5498925-5498925 has an unknown base call (value: N). Skipping...
09:01:00.906 WARN  AllelicCountCollector - The reference position at chr21:5498926-5498926 has an unknown base call (value: N). Skipping...
09:01:00.906 WARN  AllelicCountCollector - The reference position at chr21:5498927-5498927 has an unknown base call (value: N). Skipping...
09:01:00.906 WARN  AllelicCountCollector - The reference position at chr21:5498928-5498928 has an unknown base call (value: N). Skipping...
09:01:00.906 WARN  AllelicCountCollector - The reference position at chr21:5498929-5498929 has an unknown base call (value: N). Skipping...
09:01:00.906 WARN  AllelicCountCollector - The reference position at chr21:5498930-5498930 has an unknown base call (value: N). Skipping...
09:01:00.906 WARN  AllelicCountCollector - The reference position at chr21:5498931-5498931 has an unknown base call (value: N). Skipping...
09:01:00.907 WARN  AllelicCountCollector - The reference position at chr21:5498932-5498932 has an unknown base call (value: N). Skipping...
09:01:00.907 WARN  AllelicCountCollector - The reference position at chr21:5498933-5498933 has an unknown base call (value: N). Skipping...
09:01:00.907 WARN  AllelicCountCollector - The reference position at chr21:5498934-5498934 has an unknown base call (value: N). Skipping...
09:01:00.907 WARN  AllelicCountCollector - The reference position at chr21:5498935-5498935 has an unknown base call (value: N). Skipping...
09:01:00.907 WARN  AllelicCountCollector - The reference position at chr21:5498936-5498936 has an unknown base call (value: N). Skipping...
09:01:00.908 WARN  AllelicCountCollector - The reference position at chr21:5498937-5498937 has an unknown base call (value: N). Skipping...
09:01:00.908 WARN  AllelicCountCollector - The reference position at chr21:5498938-5498938 has an unknown base call (value: N). Skipping...
09:01:00.908 WARN  AllelicCountCollector - The reference position at chr21:5498939-5498939 has an unknown base call (value: N). Skipping...
09:01:00.908 WARN  AllelicCountCollector - The reference position at chr21:5498940-5498940 has an unknown base call (value: N). Skipping...
09:01:00.908 WARN  AllelicCountCollector - The reference position at chr21:5498941-5498941 has an unknown base call (value: N). Skipping...
09:01:00.909 WARN  AllelicCountCollector - The reference position at chr21:5498942-5498942 has an unknown base call (value: N). Skipping...
09:01:00.909 WARN  AllelicCountCollector - The reference position at chr21:5498943-5498943 has an unknown base call (value: N). Skipping...
09:01:00.909 WARN  AllelicCountCollector - The reference position at chr21:5498944-5498944 has an unknown base call (value: N). Skipping...
09:01:00.909 WARN  AllelicCountCollector - The reference position at chr21:5498945-5498945 has an unknown base call (value: N). Skipping...
09:01:00.909 WARN  AllelicCountCollector - The reference position at chr21:5498946-5498946 has an unknown base call (value: N). Skipping...
09:01:00.910 WARN  AllelicCountCollector - The reference position at chr21:5498947-5498947 has an unknown base call (value: N). Skipping...
09:01:00.910 WARN  AllelicCountCollector - The reference position at chr21:5498948-5498948 has an unknown base call (value: N). Skipping...
09:01:00.910 WARN  AllelicCountCollector - The reference position at chr21:5498949-5498949 has an unknown base call (value: N). Skipping...
09:01:00.910 WARN  AllelicCountCollector - The reference position at chr21:5498950-5498950 has an unknown base call (value: N). Skipping...
09:01:00.910 WARN  AllelicCountCollector - The reference position at chr21:5498951-5498951 has an unknown base call (value: N). Skipping...
09:01:00.911 WARN  AllelicCountCollector - The reference position at chr21:5498952-5498952 has an unknown base call (value: N). Skipping...
09:01:00.911 WARN  AllelicCountCollector - The reference position at chr21:5498953-5498953 has an unknown base call (value: N). Skipping...
09:01:00.911 WARN  AllelicCountCollector - The reference position at chr21:5498954-5498954 has an unknown base call (value: N). Skipping...
09:01:00.911 WARN  AllelicCountCollector - The reference position at chr21:5498955-5498955 has an unknown base call (value: N). Skipping...
09:01:00.911 WARN  AllelicCountCollector - The reference position at chr21:5498956-5498956 has an unknown base call (value: N). Skipping...
09:01:00.912 WARN  AllelicCountCollector - The reference position at chr21:5498957-5498957 has an unknown base call (value: N). Skipping...
09:01:00.912 WARN  AllelicCountCollector - The reference position at chr21:5498958-5498958 has an unknown base call (value: N). Skipping...
09:01:00.912 WARN  AllelicCountCollector - The reference position at chr21:5498959-5498959 has an unknown base call (value: N). Skipping...
09:01:00.912 WARN  AllelicCountCollector - The reference position at chr21:5498960-5498960 has an unknown base call (value: N). Skipping...
09:01:00.913 WARN  AllelicCountCollector - The reference position at chr21:5498961-5498961 has an unknown base call (value: N). Skipping...
09:01:00.913 WARN  AllelicCountCollector - The reference position at chr21:5498962-5498962 has an unknown base call (value: N). Skipping...
09:01:00.913 WARN  AllelicCountCollector - The reference position at chr21:5498963-5498963 has an unknown base call (value: N). Skipping...
09:01:00.913 WARN  AllelicCountCollector - The reference position at chr21:5498964-5498964 has an unknown base call (value: N). Skipping...
09:01:00.913 WARN  AllelicCountCollector - The reference position at chr21:5498965-5498965 has an unknown base call (value: N). Skipping...
09:01:00.914 WARN  AllelicCountCollector - The reference position at chr21:5498966-5498966 has an unknown base call (value: N). Skipping...
09:01:00.914 WARN  AllelicCountCollector - The reference position at chr21:5498967-5498967 has an unknown base call (value: N). Skipping...
09:01:00.914 WARN  AllelicCountCollector - The reference position at chr21:5498968-5498968 has an unknown base call (value: N). Skipping...
09:01:00.914 WARN  AllelicCountCollector - The reference position at chr21:5498969-5498969 has an unknown base call (value: N). Skipping...
09:01:00.914 WARN  AllelicCountCollector - The reference position at chr21:5498970-5498970 has an unknown base call (value: N). Skipping...
09:01:00.915 WARN  AllelicCountCollector - The reference position at chr21:5498971-5498971 has an unknown base call (value: N). Skipping...
09:01:00.915 WARN  AllelicCountCollector - The reference position at chr21:5498972-5498972 has an unknown base call (value: N). Skipping...
09:01:00.915 WARN  AllelicCountCollector - The reference position at chr21:5498973-5498973 has an unknown base call (value: N). Skipping...
09:01:00.915 WARN  AllelicCountCollector - The reference position at chr21:5498974-5498974 has an unknown base call (value: N). Skipping...
09:01:00.915 WARN  AllelicCountCollector - The reference position at chr21:5498975-5498975 has an unknown base call (value: N). Skipping...
09:01:00.915 WARN  AllelicCountCollector - The reference position at chr21:5498976-5498976 has an unknown base call (value: N). Skipping...
09:01:00.916 WARN  AllelicCountCollector - The reference position at chr21:5498977-5498977 has an unknown base call (value: N). Skipping...
09:01:00.916 WARN  AllelicCountCollector - The reference position at chr21:5498978-5498978 has an unknown base call (value: N). Skipping...
09:01:00.916 WARN  AllelicCountCollector - The reference position at chr21:5498979-5498979 has an unknown base call (value: N). Skipping...
09:01:00.916 WARN  AllelicCountCollector - The reference position at chr21:5498980-5498980 has an unknown base call (value: N). Skipping...
09:01:00.916 WARN  AllelicCountCollector - The reference position at chr21:5498981-5498981 has an unknown base call (value: N). Skipping...
09:01:00.917 WARN  AllelicCountCollector - The reference position at chr21:5498982-5498982 has an unknown base call (value: N). Skipping...
09:01:00.917 WARN  AllelicCountCollector - The reference position at chr21:5498983-5498983 has an unknown base call (value: N). Skipping...
09:01:00.917 WARN  AllelicCountCollector - The reference position at chr21:5498984-5498984 has an unknown base call (value: N). Skipping...
09:01:00.917 WARN  AllelicCountCollector - The reference position at chr21:5498985-5498985 has an unknown base call (value: N). Skipping...
09:01:00.917 WARN  AllelicCountCollector - The reference position at chr21:5498986-5498986 has an unknown base call (value: N). Skipping...
09:01:00.917 WARN  AllelicCountCollector - The reference position at chr21:5498987-5498987 has an unknown base call (value: N). Skipping...
09:01:00.918 WARN  AllelicCountCollector - The reference position at chr21:5498988-5498988 has an unknown base call (value: N). Skipping...
09:01:00.918 WARN  AllelicCountCollector - The reference position at chr21:5498989-5498989 has an unknown base call (value: N). Skipping...
09:01:00.918 WARN  AllelicCountCollector - The reference position at chr21:5498990-5498990 has an unknown base call (value: N). Skipping...
09:01:00.918 WARN  AllelicCountCollector - The reference position at chr21:5498991-5498991 has an unknown base call (value: N). Skipping...
09:01:00.918 WARN  AllelicCountCollector - The reference position at chr21:5498992-5498992 has an unknown base call (value: N). Skipping...
09:01:00.918 WARN  AllelicCountCollector - The reference position at chr21:5498993-5498993 has an unknown base call (value: N). Skipping...
09:01:00.919 WARN  AllelicCountCollector - The reference position at chr21:5498994-5498994 has an unknown base call (value: N). Skipping...
09:01:00.919 WARN  AllelicCountCollector - The reference position at chr21:5498995-5498995 has an unknown base call (value: N). Skipping...
09:01:00.919 WARN  AllelicCountCollector - The reference position at chr21:5498996-5498996 has an unknown base call (value: N). Skipping...
09:01:00.919 WARN  AllelicCountCollector - The reference position at chr21:5498997-5498997 has an unknown base call (value: N). Skipping...
09:01:00.919 WARN  AllelicCountCollector - The reference position at chr21:5498998-5498998 has an unknown base call (value: N). Skipping...
09:01:00.920 WARN  AllelicCountCollector - The reference position at chr21:5498999-5498999 has an unknown base call (value: N). Skipping...
09:01:00.920 WARN  AllelicCountCollector - The reference position at chr21:5499000-5499000 has an unknown base call (value: N). Skipping...
09:01:00.920 WARN  AllelicCountCollector - The reference position at chr21:5499001-5499001 has an unknown base call (value: N). Skipping...
09:01:00.920 WARN  AllelicCountCollector - The reference position at chr21:5499002-5499002 has an unknown base call (value: N). Skipping...
09:01:00.921 WARN  AllelicCountCollector - The reference position at chr21:5499003-5499003 has an unknown base call (value: N). Skipping...
09:01:00.921 WARN  AllelicCountCollector - The reference position at chr21:5499004-5499004 has an unknown base call (value: N). Skipping...
09:01:00.921 WARN  AllelicCountCollector - The reference position at chr21:5499005-5499005 has an unknown base call (value: N). Skipping...
09:01:00.921 WARN  AllelicCountCollector - The reference position at chr21:5499006-5499006 has an unknown base call (value: N). Skipping...
09:01:00.921 WARN  AllelicCountCollector - The reference position at chr21:5499007-5499007 has an unknown base call (value: N). Skipping...
09:01:00.922 WARN  AllelicCountCollector - The reference position at chr21:5499008-5499008 has an unknown base call (value: N). Skipping...
09:01:00.922 WARN  AllelicCountCollector - The reference position at chr21:5499009-5499009 has an unknown base call (value: N). Skipping...
09:01:00.922 WARN  AllelicCountCollector - The reference position at chr21:5499010-5499010 has an unknown base call (value: N). Skipping...
09:01:00.922 WARN  AllelicCountCollector - The reference position at chr21:5499011-5499011 has an unknown base call (value: N). Skipping...
09:01:00.922 WARN  AllelicCountCollector - The reference position at chr21:5499012-5499012 has an unknown base call (value: N). Skipping...
09:01:01.277 WARN  AllelicCountCollector - The reference position at chr21:6629932-6629932 has an unknown base call (value: N). Skipping...
09:01:01.278 WARN  AllelicCountCollector - The reference position at chr21:6629933-6629933 has an unknown base call (value: N). Skipping...
09:01:01.278 WARN  AllelicCountCollector - The reference position at chr21:6629934-6629934 has an unknown base call (value: N). Skipping...
09:01:01.278 WARN  AllelicCountCollector - The reference position at chr21:6629935-6629935 has an unknown base call (value: N). Skipping...
09:01:01.278 WARN  AllelicCountCollector - The reference position at chr21:6629936-6629936 has an unknown base call (value: N). Skipping...
09:01:01.280 WARN  AllelicCountCollector - The reference position at chr21:6629937-6629937 has an unknown base call (value: N). Skipping...
09:01:01.293 WARN  AllelicCountCollector - The reference position at chr21:6629938-6629938 has an unknown base call (value: N). Skipping...
09:01:01.293 WARN  AllelicCountCollector - The reference position at chr21:6629939-6629939 has an unknown base call (value: N). Skipping...
09:01:01.293 WARN  AllelicCountCollector - The reference position at chr21:6629940-6629940 has an unknown base call (value: N). Skipping...
09:01:01.293 WARN  AllelicCountCollector - The reference position at chr21:6629941-6629941 has an unknown base call (value: N). Skipping...
09:01:01.293 WARN  AllelicCountCollector - The reference position at chr21:6629942-6629942 has an unknown base call (value: N). Skipping...
09:01:01.294 WARN  AllelicCountCollector - The reference position at chr21:6629943-6629943 has an unknown base call (value: N). Skipping...
09:01:01.294 WARN  AllelicCountCollector - The reference position at chr21:6629944-6629944 has an unknown base call (value: N). Skipping...
09:01:01.294 WARN  AllelicCountCollector - The reference position at chr21:6629945-6629945 has an unknown base call (value: N). Skipping...
09:01:01.294 WARN  AllelicCountCollector - The reference position at chr21:6629946-6629946 has an unknown base call (value: N). Skipping...
09:01:01.294 WARN  AllelicCountCollector - The reference position at chr21:6629947-6629947 has an unknown base call (value: N). Skipping...
09:01:01.294 WARN  AllelicCountCollector - The reference position at chr21:6629948-6629948 has an unknown base call (value: N). Skipping...
09:01:01.294 WARN  AllelicCountCollector - The reference position at chr21:6629949-6629949 has an unknown base call (value: N). Skipping...
09:01:01.298 WARN  AllelicCountCollector - The reference position at chr21:6629950-6629950 has an unknown base call (value: N). Skipping...
09:01:01.298 WARN  AllelicCountCollector - The reference position at chr21:6629951-6629951 has an unknown base call (value: N). Skipping...
09:01:01.298 WARN  AllelicCountCollector - The reference position at chr21:6629952-6629952 has an unknown base call (value: N). Skipping...
09:01:01.299 WARN  AllelicCountCollector - The reference position at chr21:6629953-6629953 has an unknown base call (value: N). Skipping...
09:01:01.299 WARN  AllelicCountCollector - The reference position at chr21:6629954-6629954 has an unknown base call (value: N). Skipping...
09:01:01.299 WARN  AllelicCountCollector - The reference position at chr21:6629955-6629955 has an unknown base call (value: N). Skipping...
09:01:01.299 WARN  AllelicCountCollector - The reference position at chr21:6629956-6629956 has an unknown base call (value: N). Skipping...
09:01:01.299 WARN  AllelicCountCollector - The reference position at chr21:6629957-6629957 has an unknown base call (value: N). Skipping...
09:01:01.299 WARN  AllelicCountCollector - The reference position at chr21:6629958-6629958 has an unknown base call (value: N). Skipping...
09:01:01.299 WARN  AllelicCountCollector - The reference position at chr21:6629959-6629959 has an unknown base call (value: N). Skipping...
09:01:01.299 WARN  AllelicCountCollector - The reference position at chr21:6629960-6629960 has an unknown base call (value: N). Skipping...
09:01:01.299 WARN  AllelicCountCollector - The reference position at chr21:6629961-6629961 has an unknown base call (value: N). Skipping...
09:01:01.300 WARN  AllelicCountCollector - The reference position at chr21:6629962-6629962 has an unknown base call (value: N). Skipping...
09:01:01.300 WARN  AllelicCountCollector - The reference position at chr21:6629963-6629963 has an unknown base call (value: N). Skipping...
09:01:01.300 WARN  AllelicCountCollector - The reference position at chr21:6629964-6629964 has an unknown base call (value: N). Skipping...
09:01:01.300 WARN  AllelicCountCollector - The reference position at chr21:6629965-6629965 has an unknown base call (value: N). Skipping...
09:01:01.300 WARN  AllelicCountCollector - The reference position at chr21:6629966-6629966 has an unknown base call (value: N). Skipping...
09:01:01.300 WARN  AllelicCountCollector - The reference position at chr21:6629967-6629967 has an unknown base call (value: N). Skipping...
09:01:01.300 WARN  AllelicCountCollector - The reference position at chr21:6629968-6629968 has an unknown base call (value: N). Skipping...
09:01:01.300 WARN  AllelicCountCollector - The reference position at chr21:6629969-6629969 has an unknown base call (value: N). Skipping...
09:01:01.300 WARN  AllelicCountCollector - The reference position at chr21:6629970-6629970 has an unknown base call (value: N). Skipping...
09:01:01.301 WARN  AllelicCountCollector - The reference position at chr21:6629971-6629971 has an unknown base call (value: N). Skipping...
09:01:01.301 WARN  AllelicCountCollector - The reference position at chr21:6629972-6629972 has an unknown base call (value: N). Skipping...
09:01:01.301 WARN  AllelicCountCollector - The reference position at chr21:6629973-6629973 has an unknown base call (value: N). Skipping...
09:01:01.301 WARN  AllelicCountCollector - The reference position at chr21:6629974-6629974 has an unknown base call (value: N). Skipping...
09:01:01.301 WARN  AllelicCountCollector - The reference position at chr21:6629975-6629975 has an unknown base call (value: N). Skipping...
09:01:01.301 WARN  AllelicCountCollector - The reference position at chr21:6629976-6629976 has an unknown base call (value: N). Skipping...
09:01:01.301 WARN  AllelicCountCollector - The reference position at chr21:6629977-6629977 has an unknown base call (value: N). Skipping...
09:01:01.301 WARN  AllelicCountCollector - The reference position at chr21:6629978-6629978 has an unknown base call (value: N). Skipping...
09:01:01.301 WARN  AllelicCountCollector - The reference position at chr21:6629979-6629979 has an unknown base call (value: N). Skipping...
09:01:01.301 WARN  AllelicCountCollector - The reference position at chr21:6629980-6629980 has an unknown base call (value: N). Skipping...
09:01:01.302 WARN  AllelicCountCollector - The reference position at chr21:6629981-6629981 has an unknown base call (value: N). Skipping...
09:01:01.302 WARN  AllelicCountCollector - The reference position at chr21:6629982-6629982 has an unknown base call (value: N). Skipping...
09:01:01.302 WARN  AllelicCountCollector - The reference position at chr21:6629983-6629983 has an unknown base call (value: N). Skipping...
09:01:01.302 WARN  AllelicCountCollector - The reference position at chr21:6629984-6629984 has an unknown base call (value: N). Skipping...
09:01:01.302 WARN  AllelicCountCollector - The reference position at chr21:6629985-6629985 has an unknown base call (value: N). Skipping...
09:01:01.302 WARN  AllelicCountCollector - The reference position at chr21:6629986-6629986 has an unknown base call (value: N). Skipping...
09:01:01.303 WARN  AllelicCountCollector - The reference position at chr21:6629987-6629987 has an unknown base call (value: N). Skipping...
09:01:01.303 WARN  AllelicCountCollector - The reference position at chr21:6629988-6629988 has an unknown base call (value: N). Skipping...
09:01:01.303 WARN  AllelicCountCollector - The reference position at chr21:6629989-6629989 has an unknown base call (value: N). Skipping...
09:01:01.303 WARN  AllelicCountCollector - The reference position at chr21:6629990-6629990 has an unknown base call (value: N). Skipping...
09:01:01.303 WARN  AllelicCountCollector - The reference position at chr21:6629991-6629991 has an unknown base call (value: N). Skipping...
09:01:01.303 WARN  AllelicCountCollector - The reference position at chr21:6629992-6629992 has an unknown base call (value: N). Skipping...
09:01:01.303 WARN  AllelicCountCollector - The reference position at chr21:6629993-6629993 has an unknown base call (value: N). Skipping...
09:01:01.303 WARN  AllelicCountCollector - The reference position at chr21:6629994-6629994 has an unknown base call (value: N). Skipping...
09:01:01.303 WARN  AllelicCountCollector - The reference position at chr21:6629995-6629995 has an unknown base call (value: N). Skipping...
09:01:01.304 WARN  AllelicCountCollector - The reference position at chr21:6629996-6629996 has an unknown base call (value: N). Skipping...
09:01:01.304 WARN  AllelicCountCollector - The reference position at chr21:6629997-6629997 has an unknown base call (value: N). Skipping...
09:01:01.304 WARN  AllelicCountCollector - The reference position at chr21:6629998-6629998 has an unknown base call (value: N). Skipping...
09:01:01.304 WARN  AllelicCountCollector - The reference position at chr21:6629999-6629999 has an unknown base call (value: N). Skipping...
09:01:01.304 WARN  AllelicCountCollector - The reference position at chr21:6630000-6630000 has an unknown base call (value: N). Skipping...
09:01:01.304 WARN  AllelicCountCollector - The reference position at chr21:6630001-6630001 has an unknown base call (value: N). Skipping...
09:01:01.304 WARN  AllelicCountCollector - The reference position at chr21:6630002-6630002 has an unknown base call (value: N). Skipping...
09:01:01.304 WARN  AllelicCountCollector - The reference position at chr21:6630003-6630003 has an unknown base call (value: N). Skipping...
09:01:01.304 WARN  AllelicCountCollector - The reference position at chr21:6630004-6630004 has an unknown base call (value: N). Skipping...
09:01:01.304 WARN  AllelicCountCollector - The reference position at chr21:6630005-6630005 has an unknown base call (value: N). Skipping...
09:01:01.305 WARN  AllelicCountCollector - The reference position at chr21:6630006-6630006 has an unknown base call (value: N). Skipping...
09:01:01.305 WARN  AllelicCountCollector - The reference position at chr21:6630007-6630007 has an unknown base call (value: N). Skipping...
09:01:01.305 WARN  AllelicCountCollector - The reference position at chr21:6630008-6630008 has an unknown base call (value: N). Skipping...
09:01:01.305 WARN  AllelicCountCollector - The reference position at chr21:6630009-6630009 has an unknown base call (value: N). Skipping...
09:01:01.305 WARN  AllelicCountCollector - The reference position at chr21:6630010-6630010 has an unknown base call (value: N). Skipping...
09:01:01.305 WARN  AllelicCountCollector - The reference position at chr21:6630011-6630011 has an unknown base call (value: N). Skipping...
09:01:01.305 WARN  AllelicCountCollector - The reference position at chr21:6630012-6630012 has an unknown base call (value: N). Skipping...
09:01:01.305 WARN  AllelicCountCollector - The reference position at chr21:6630013-6630013 has an unknown base call (value: N). Skipping...
09:01:01.305 WARN  AllelicCountCollector - The reference position at chr21:6630014-6630014 has an unknown base call (value: N). Skipping...
09:01:01.306 WARN  AllelicCountCollector - The reference position at chr21:6630015-6630015 has an unknown base call (value: N). Skipping...
09:01:01.306 WARN  AllelicCountCollector - The reference position at chr21:6630016-6630016 has an unknown base call (value: N). Skipping...
09:01:01.306 WARN  AllelicCountCollector - The reference position at chr21:6630017-6630017 has an unknown base call (value: N). Skipping...
09:01:01.306 WARN  AllelicCountCollector - The reference position at chr21:6630018-6630018 has an unknown base call (value: N). Skipping...
09:01:01.306 WARN  AllelicCountCollector - The reference position at chr21:6630019-6630019 has an unknown base call (value: N). Skipping...
09:01:01.306 WARN  AllelicCountCollector - The reference position at chr21:6630020-6630020 has an unknown base call (value: N). Skipping...
09:01:01.306 WARN  AllelicCountCollector - The reference position at chr21:6630021-6630021 has an unknown base call (value: N). Skipping...
09:01:01.306 WARN  AllelicCountCollector - The reference position at chr21:6630022-6630022 has an unknown base call (value: N). Skipping...
09:01:01.306 WARN  AllelicCountCollector - The reference position at chr21:6630023-6630023 has an unknown base call (value: N). Skipping...
09:01:01.307 WARN  AllelicCountCollector - The reference position at chr21:6630024-6630024 has an unknown base call (value: N). Skipping...
09:01:01.307 WARN  AllelicCountCollector - The reference position at chr21:6630025-6630025 has an unknown base call (value: N). Skipping...
